Name,Stars,Title,Date,Description,Sentiment,Subjectivity
Dicie Lynn Mitchell,3.0,"3.0 out of 5 stars
fair product",07/11/2023,inflates extremely slow light look good,0.4404,0.367
RUM,4.0,"4.0 out of 5 stars
Muy bonito adorno navideño",25/09/2022,adorno de navidad igual de bonito como en la imagen lo negativo e que se desinfla inmediamente al desconectarse pensé que se podía dejar inflado sin conexion,-0.5574,0.0
penny dziuban,2.0,"2.0 out of 5 stars
Blower not working",10/11/2023,blower working,0.0,0.0
Robin Hill,5.0,"5.0 out of 5 stars
Nice Lights",16/01/2023,look great constant moving “disco” like light made stand out rained lot christmas california held well got black friday sale paid something great deal,0.9153,0.39
Linda Leary,4.0,"4.0 out of 5 stars
Great for an outdoors",01/12/2022,easy setup,0.4404,0.744
Dee R,5.0,"5.0 out of 5 stars
The Cutest Inflatable",11/12/2022,great value money look great easy steak inflate many neighbor said enjoying inflatable keep inflated hour day work well,0.9584,0.594
Dorothy R.,5.0,"5.0 out of 5 stars
Love this decoration",22/12/2022,video big upload bought snowman year ago waited review it season still working great eyecatching,0.6249,0.227
Meka,5.0,"5.0 out of 5 stars
Durable",03/01/2023,like size still it thought would difficult keep secured wind rain wasnt,0.4019,0.311
Jackie,5.0,"5.0 out of 5 stars
Super cute wish it was bigger",02/12/2022,cute wish bigger ad dimension picture make seem bigger taken certain angle kiddos love 😍,0.9001,0.545
rcamay,5.0,"5.0 out of 5 stars
great quality",05/12/2022,love it great quality material also help lot put bag sand inside winter windlights nice,0.93,0.556
